vendor_name,vendor_code,COUNT,MEAN_of_TAT,STDEV_of_TAT
PANASONIC AVIONICS CORPORATION,0FF57,4,174.25,188.5583464076836
OLYMPUS SCIENT. SOLUT. AMERICAS CORP,7EPX8,4,85.0,0.0
TEKTRONIX SERVICE SOLUTIONS,18479,125,68.96,57.97043184022295
BOWERS GROUP,U7368,1,18.0,NaN
"TRANSCAT, INC",0ACA5,1,105.0,NaN
N.D.T. ITALIANA SRL,A4256,6,24.0,17.60681686165901
VIDITEC S.A.,AR0413,3,11.0,0.0
KARCHER SA,AR0062,3,19.666666666666668,25.403411844343534
VASRO INC,5EPD0,14,23.142857142857142,7.979369002015741
TMH-AMS,F1297,4,68.75,49.5
DASTEC S.R.L.,AR0304,2,425.5,86.97413408594535
CLIMET INSTRUMENTS COMPANY,17779,1,39.0,NaN
PHOTO RESERCH,92434,3,66.0,28.478061731796284
INGENIERO CAPINO S.R.L.,AR0349,1,78.0,NaN
GE ENGINE SERVICES LLC,24113,8,69.5,107.43901924879461
CHELTON ANTENNAS,F6175,2,83.5,28.991378028648448
B/E AEROSPACE ROYAL INVENTUM CO.,H0212,2,58.0,0.0
N.R.Z. INSTRUMENTOS S.R.L.,AR0229,130,27.43076923076923,32.73074046667323
DCM-SINTERS AMERICA DIV,L6622,1,87.0,NaN
KLM ENGINEERING & MAINTENANCE,NL0008,2,18.0,14.142135623730951
"MED-CRAFT, INC.",0KUD1,32,49.28125,35.60738811973825
"MAGTROL, INC.",03692,1,60.0,NaN
VALUETRONICS INTERNATIONAL INC,4AAA0,3,41.333333333333336,27.75487945088815
AQUA MEASURE INSTRUMENT CO.,0CT97,3,42.333333333333336,14.433756729740644
"BALLARD TECHNOLOGY, INC",0H231,1,39.0,NaN
INTEK SOLUTIONS LLC,US0065,2,177.0,0.0
HOLMBERG GMBH & CO. KG,D9240,1,75.0,NaN
ALPHA & OMEGA CALIBRATION SERVICES,US0954,217,136.82027649769586,234.2576730114469
EXPRESS CALIBRATION SERVICES,US0039,8,109.5,46.04345773288535
DME CORP.,55827,2,22.0,0.0
AIRBUS NORTHAMERICA CS INC.,3Z9K5,71,44.63380281690141,62.095833639077526
AAR CORP,63537,2,48.0,48.08326112068523
"FLIR COMMERCIAL SYSTEMS, INC.",6GY45,2,91.5,71.4177848998413
SPEC TOOL CO.,07132,4,12.0,0.0
GOODRICH INTER EVACUATION SYST,0ACH4,26,56.69230769230769,74.45415729468395
A&L INTEGRAL TRADE SA,AR0086,15,68.66666666666667,46.95235680478467
"TRESCAL, INC",1WXL9,2,69.5,2.1213203435596424
"SOLAIR GROUP, INC.",3YWZ8,13,149.07692307692307,152.73477094758175
SAFRAN CABIN GERMANY GMBH ELEC. INS.,CH550,1,49.0,NaN
METROLOGY SHOP,AR-METROLOGY,6,73.16666666666667,76.09051627283564
SEWING PARTS EXPRESS CORP,US0109,2,103.5,48.79036790187178
PANASONIC AVIONICS CORPORATION,1UL05,19,41.36842105263158,53.2605863512554
BERG ENGINEERING & SALES CO.,68062,1,156.0,NaN
COMPUFLOW SOLUTIONS,1XMG9,1,61.0,NaN
FLUKE BIOMEDICAL,1JZH3,1,162.0,NaN
DOLZ HNOS. S.R.L.,AR0307,108,54.71296296296296,58.80524659120834
ORL HORNOS ELECTRICOS SA,AR0375,2,13.0,2.8284271247461903
FTI FLOW TECHNOLOGY,18316,11,34.09090909090909,21.42640681707759
SKYWORLD LLC,US0159,107,49.23364485981308,24.12685790646439
TRONAIR INC,59603,12,34.083333333333336,20.830302809885293
BROOKS INSTRUMENT,91556,1,50.0,NaN
"TESTEK, INC.",06659,25,48.2,42.68782027698299
"VALHALLA SCIENTIFIC, INC.",53504,4,48.25,29.067450295247202
NET CALIBRACIONES S.A.,AR0008,34,52.3235294117647,61.22770247855247
FIRSTMARK AEROSPACE CORP.,3BMV1,1,150.0,NaN
I.N.T.I.,AR0340,60,86.68333333333334,183.1758895083497
GMI AERO,F7856,21,41.333333333333336,27.980945897759305
EDUARD WILLE GMBH & CO. KG,DE0147,31,95.38709677419355,56.19174163484337
ELTA / ECA GROUP,F6614,5,98.0,43.69782603288177
"BARFIELD, INC.",21844,12,77.91666666666667,55.429657852966855
"AMERICAN TESTING SERVICES, LTD",3WEZ2,34,59.38235294117647,48.38921411617209
TEL-INSTRUMENT ELECTRONICS,92606,2,46.0,11.313708498984761
SNAP- ON TOOLS CORP,7L414,5,96.8,29.132456127144515
"BILL THOMAS ASSOCIATES, INC.",3FEB4,13,22.53846153846154,26.46260060480131
MTI INSTRUMENTS,US0061,1,113.0,NaN
HONEYWELL INTERNATIONAL INC.,58960,6,57.666666666666664,32.59243265954026
TESTO ARGENTINA SA,AR0483,69,37.73913043478261,28.90738363540536
TEKTRONIX INC,US0974,13,23.23076923076923,28.56616251836499
"AIR COST CONTROL US, LLC",4W3P9,1,192.0,NaN
"LIEBHERR AEROSPACE SALINE, INC",8S625,3,213.0,21.283796653792763
SAS TMH-TOOLS,F8303,4,94.0,14.877275736280932
CALCOR US LLC,US0946,78,38.07692307692308,29.67213447724252
ECTRON CORP,24856,1,44.0,NaN
BUEHLER LTD.,09410,1,31.0,NaN
ATLANTIS AVIONICS TEST EQUIPMENT,38202,28,42.035714285714285,27.7268183358
EMBRAER AIRCRAFT CUSTOMER SVCS,4SAK1,52,118.51923076923077,80.79955600358875
"WAYGATE TECHNOLOGIES USA, LP",052B7,32,76.3125,51.57358507433195
DICK MUNNS COMPANY,4K341,9,40.888888888888886,32.509400349915886
HONEYWELL INTERNATIONAL,06848,5,198.4,92.57321426849128
